,AirportID,Name,Country,City,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
191,193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,569,-5,A,America/Toronto,airport,OurAirports
299,302,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.9014015198,4.48443984985,184,1,E,Europe/Brussels,airport,OurAirports
336,340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin,airport,OurAirports
341,345,Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.766780000000001,147,1,E,Europe/Berlin,airport,OurAirports
342,346,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487,1,E,Europe/Berlin,airport,OurAirports
473,478,Manchester Airport,Manchester,United Kingdom,MAN,EGCC,53.35369873046875,-2.2749500274658203,257,0,E,Europe/London,airport,OurAirports
497,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,202,0,E,Europe/London,airport,OurAirports
502,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,83,0,E,Europe/London,airport,OurAirports
574,580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389,-11,1,E,Europe/Amsterdam,airport,OurAirports
1186,1218,Barcelona International Airport,Barcelona,Spain,BCN,LEBL,41.2971,2.0784599999999998,12,1,E,Europe/Madrid,airport,OurAirports
1196,1229,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.471926,-3.56264,1998,1,E,Europe/Madrid,airport,OurAirports
1346,1382,Charles de Gaulle International Airport,Paris,France,CDG,LFPG,49.012798,2.55,392,1,E,Europe/Paris,airport,OurAirports
1514,1555,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF,41.800277799999996,12.238888900000001,13,1,E,Europe/Rome,airport,OurAirports
1571,1613,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.110298156738004,16.569700241089002,600,1,E,Europe/Vienna,airport,OurAirports
1633,1678,Zürich Airport,Zurich,Switzerland,ZRH,LSZH,47.464698999999996,8.54917,1416,1,E,Europe/Zurich,airport,OurAirports
1655,1701,Atatürk International Airport,Istanbul,Turkey,IST,LTBA,40.976898,28.8146,163,3,E,Europe/Istanbul,airport,OurAirports
1766,1824,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.4363,-99.072098,7316,-6,S,America/Mexico_City,airport,OurAirports
2100,2188,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.252799987800003,55.3643989563,62,4,U,Asia/Dubai,airport,OurAirports
2178,2276,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002,106,8,U,Asia/Taipei,airport,OurAirports
2181,2279,Narita International Airport,Tokyo,Japan,NRT,RJAA,35.764701843299996,140.386001587,141,9,U,Asia/Tokyo,airport,OurAirports
2914,3077,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.308901000000002,113.915001,28,8,U,Asia/Hong_Kong,airport,OurAirports
2930,3093,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104,777,5.5,N,Asia/Calcutta,airport,OurAirports
3111,3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.7455799579619997,101.70999908446998,69,8,N,Asia/Kuala_Lumpur,airport,OurAirports
3123,3316,Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35019,103.994003,22,8,N,Asia/Singapore,airport,OurAirports
3169,3364,Beijing Capital International Airport,Beijing,China,PEK,ZBAA,40.0801010131836,116.58499908447266,116,8,U,Asia/Shanghai,airport,OurAirports
3173,3370,Guangzhou Baiyun International Airport,Guangzhou,China,CAN,ZGGG,23.39240074157715,113.29900360107422,50,8,U,Asia/Shanghai,airport,OurAirports
3182,3379,Xi'an Xianyang International Airport,Xi'an,China,XIY,ZLXY,34.447102,108.751999,1572,8,U,Asia/Shanghai,airport,OurAirports
3185,3382,Kunming Changshui International Airport,Kunming,China,KMG,ZPPP,25.101944399999997,102.9291667,6903,8,N,Asia/Shanghai,airport,OurAirports
3189,3386,Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH,ZSHC,30.22949981689453,120.43399810791016,23,8,U,Asia/Shanghai,airport,OurAirports
3196,3393,Chongqing Jiangbei International Airport,Chongqing,China,CKG,ZUCK,29.719200134277344,106.64199829101562,1365,8,U,Asia/Shanghai,airport,OurAirports
3198,3395,Chengdu Shuangliu International Airport,Chengdu,China,CTU,ZUUU,30.578500747680664,103.9469985961914,1625,8,U,Asia/Shanghai,airport,OurAirports
3206,3406,Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.143400192260746,121.80500030517578,13,8,U,Asia/Shanghai,airport,OurAirports
3262,3462,Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,KPHX,33.43429946899414,-112.01200103759766,1135,-7,N,America/Phoenix,airport,OurAirports
3269,3469,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.61899948120117,-122.375,13,-8,A,America/Los_Angeles,airport,OurAirports
3284,3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.40799709999999,125,-8,A,America/Los_Angeles,airport,OurAirports
3294,3494,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69250106811523,-74.168701171875,18,-5,A,America/New_York,airport,OurAirports
3349,3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.98439979553223,-95.34140014648438,97,-6,A,America/Chicago,airport,OurAirports
3375,3576,Miami International Airport,Miami,United States,MIA,KMIA,25.79319953918457,-80.29060363769531,8,-5,A,America/New_York,airport,OurAirports
3469,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,OurAirports
3481,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,airport,OurAirports
3550,3751,Denver International Airport,Denver,United States,DEN,KDEN,39.861698150635,-104.672996521,5431,-7,A,America/Denver,airport,OurAirports
3551,3752,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.87189865112305,-75.24109649658203,36,-5,A,America/New_York,airport,OurAirports
3596,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,airport,OurAirports
3629,3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672,-6,A,America/Chicago,airport,OurAirports
3675,3876,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.2140007019043,-80.94309997558594,748,-5,A,America/New_York,airport,OurAirports
3676,3877,McCarran International Airport,Las Vegas,United States,LAS,KLAS,36.08010101,-115.15200039999999,2181,-8,A,America/Los_Angeles,airport,OurAirports
3684,3885,Suvarnabhumi Airport,Bangkok,Thailand,BKK,VTBS,13.681099891662598,100.74700164794922,5,7,U,Asia/Bangkok,airport,OurAirports
3724,3930,Incheon International Airport,Seoul,South Korea,ICN,RKSI,37.46910095214844,126.45099639892578,23,9,U,Asia/Seoul,airport,OurAirports
3785,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700591999996,2.73881006241,27,1,E,Europe/Madrid,airport,OurAirports
3813,4029,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879821777344,37.90629959106445,588,3,N,Europe/Moscow,airport,OurAirports
